Molecule Name,CDD Number,SMILES,SARS-CoV-2-NSP3-MAC1_TR-FRET-dose-response_weizmann: pIC50_Mean,SARS-CoV-2-NSP3-MAC1_TR-FRET-dose-response_weizmann: pIC50_Mean Standard Deviation (±),SARS-CoV-2-NSP3-MAC1_TR-FRET-dose-response_weizmann: pIC50_Mean Count,SARS-COV-2-NSP3-MAC1_X-ray_Diamond: Run Date,SARS-COV-2-NSP3-MAC1_X-ray_Diamond: Experiment Status,SARS-COV-2-NSP3-MAC1_X-ray_Diamond: Soaking time,SARS-COV-2-NSP3-MAC1_X-ray_Diamond: Crystal mounting result,SARS-COV-2-NSP3-MAC1_X-ray_Diamond: Completeness (High res shell),SARS-COV-2-NSP3-MAC1_X-ray_Diamond: Space Group,SARS-COV-2-NSP3-MAC1_X-ray_Diamond: Ligand confidence,SARS-COV-2-NSP3-MAC1_X-ray_Diamond: Fragalysis Link,SARS-COV-2-NSP3-MAC1_X-ray_Diamond: CChalf (overall),SARS-COV-2-NSP3-MAC1_X-ray_Diamond: Completeness (overall),SARS-COV-2-NSP3-MAC1_X-ray_Diamond: ISig(I) (overall),SARS-COV-2-NSP3-MAC1_X-ray_Diamond: Refinement Rwork,SARS-COV-2-NSP3-MAC1_X-ray_Diamond: Refinement Rfree,worked
ASAP-0000479,,CC(C)[C@@H]1C(=O)NCCN1c1ncnc2[nH]ccc12,,,,2023-11-21,Deposition ready,01:47:07,OK: No comment:No comment,24.2,P 43,Correct ligand but weak density,https://fragalysis.diamond.ac.uk/viewer/react/preview/direct/target/SARS2_Mac1A/mols/ASAP-0000479-001/L/P/C,,,,,,True
ASAP-0013390,,CC(C)[C@@H](Nc1ncnc2[nH]c(-c3cnc(N4CC(O)C4)nc3)cc12)c1ccc2c(c1)S(=O)(=O)CCC2,,,,2023-11-21,CompChem ready,,,31.7,P 1 21 1,,https://fragalysis.diamond.ac.uk/viewer/react/preview/direct/target/SARS2_Mac1B/mols/ASAP-0013390-001/L/P/C,,,,,,True
ASAP-0011177,,CC(C)[C@H](Nc1ncnc2[nH]c(-c3cnn(C)c3C#N)cc12)c1ccc2c(n1)NC(=O)CO2,,,,2023-11-21,CompChem ready,02/04/1900 19:54:14,,97.7,P 1 21 1,,https://fragalysis.diamond.ac.uk/viewer/react/preview/direct/target/SARS2_Mac1B/mols/ASAP-0011177-001/L/P/C,,,,,,True
ASAP-0012338,,CNC(=O)c1cccc(-c2cc3c(N[C@H](c4ccc5c(c4)S(=O)(=O)CCC5)C(C)C)ncnc3[nH]2)c1,,,,2023-11-21,CompChem ready,23:58:24,OK: No comment:No comment,5.5,P 1 21 1,High confidence,https://fragalysis.diamond.ac.uk/viewer/react/preview/direct/target/SARS2_Mac1B/mols/ASAP-0012338-001/L/P/C,,,,,,True
ASAP-0011153,,CNC(=O)c1c[nH]c2ncnc(N[C@H](c3ccc4c(c3)S(=O)(=O)CCC4)C(C)C)c12,6.94,0.027,2.0,2023-11-21,CompChem ready,00:05:40,,93.1,P 1 21 1,,https://fragalysis.diamond.ac.uk/viewer/react/preview/direct/target/SARS2_Mac1B/mols/ASAP-0011153-001/L/P/C,,,,,,True
ASAP-0011446,,Cc1nn(C)cc1-c1cc2c(N[C@H](c3ccc4c(c3)S(=O)(=O)CCC4)C(C)C)ncnc2[nH]1,,,,2023-11-21,CompChem ready,02/04/1900 19:54:13,,42.6,P 1 21 1,,https://fragalysis.diamond.ac.uk/viewer/react/preview/direct/target/SARS2_Mac1B/mols/ASAP-0011446-001/L/P/C,,,,,,True
ASAP-0013383,,CC(C)[C@@H](Nc1ncnc2[nH]c(-c3ccc(=O)n(C)c3)cc12)c1ccc2c(c1)S(=O)(=O)CCC2,,,,2023-11-21,CompChem ready,,,5.9,P 1 21 1,No ligand modelled,https://fragalysis.diamond.ac.uk/viewer/react/preview/direct/target/SARS2_Mac1B/mols/ASAP-0013383-001/L/P/C,,,,,,True
ASAP-0011184,,CNC(=O)Cn1cc(-c2cc3c(N[C@@H](c4ccc5c(c4)S(=O)(=O)CCC5)C(C)C)ncnc3[nH]2)cn1,,,,2023-11-21,CompChem ready,23:58:24,OK: No comment:No comment,28.8,P 1 21 1,,https://fragalysis.diamond.ac.uk/viewer/react/preview/direct/target/SARS2_Mac1B/mols/ASAP-0011184-001/L/P/C,,,,,,True
ASAP-0013259,,CC(C)[C@@H](Nc1ncnc2[nH]c(S(C)(=O)=O)cc12)c1ccc2c(c1)S(=O)(=O)CCC2,,,,2023-11-21,CompChem ready,,,19.4,P 1 21 1,,https://fragalysis.diamond.ac.uk/viewer/react/preview/direct/target/SARS2_Mac1B/mols/ASAP-0013259-001/L/P/C,,,,,,True
ASAP-0000789,,O=C(O)[C@@H](Nc1ncnc2[nH]ccc12)c1ccc2c(c1)OCCO2,,,,2023-11-21,CompChem ready,01:19:53,OK: No comment:No comment,99.2,P 43,,https://fragalysis.diamond.ac.uk/viewer/react/preview/direct/target/SARS2_Mac1A/mols/ASAP-0000789-001/L/P/C,,,,,,True
